key,en,es,fr,de,pt
GRAPHICS_QUALITY,"Graphics Quality","Calidad Gráfica","Qualité Graphique","Grafikqualität","Qualidade Gráfica"
SHADOW_QUALITY,"Shadow Quality","Calidad de Sombras","Qualité Ombres","Schattenqualität","Qualidade das Sombras"
TEXTURE_QUALITY,"Texture Quality","Calidad de Texturas","Qualité Textures","Texturqualität","Qualidade das Texturas"
ANTI_ALIASING,"Anti-Aliasing","Anti-Aliasing","Anti-Aliasing","Anti-Aliasing","Anti-Aliasing"
VSYNC,"V-Sync","V-Sync","V-Sync","V-Sync","V-Sync"
FULLSCREEN,"Fullscreen","Pantalla Completa","Plein Écran","Vollbild","Tela Cheia"
WINDOWED,"Windowed","Ventana","Fenêtré","Fenster","Janela"
RESOLUTION,"Resolution","Resolución","Résolution","Auflösung","Resolução"
APPLY_SETTINGS,"Apply","Aplicar","Appliquer","Anwenden","Aplicar"
CANCEL_SETTINGS,"Cancel","Cancelar","Annuler","Abbrechen","Cancelar"
RESET_SETTINGS,"Reset to Default","Restablecer","Réinitialiser","Zurücksetzen","Redefinir"
CONFIRM_RESET,"Are you sure you want to reset all settings?","¿Estás seguro de que quieres restablecer toda la configuración?","Êtes-vous sûr de vouloir réinitialiser tous les paramètres?","Sind Sie sicher, dass Sie alle Einstellungen zurücksetzen möchten?","Tem certeza de que deseja redefinir todas as configurações?"
YES,"Yes","Sí","Oui","Ja","Sim"
NO,"No","No","Non","Nein","Não"
PAUSE_MENU,"Pause Menu","Menú de Pausa","Menu Pause","Pausenmenü","Menu de Pausa"
RESUME_GAME,"Resume","Reanudar","Reprendre","Fortsetzen","Retomar"
MAIN_MENU,"Main Menu","Menú Principal","Menu Principal","Hauptmenü","Menu Principal"
QUIT_GAME,"Quit Game","Salir del Juego","Quitter le Jeu","Spiel Beenden","Sair do Jogo"
TUTORIAL_WELCOME,"Welcome to the Sanctuary of Kalabhra","Bienvenido al Santuario de Kalabhra","Bienvenue au Sanctuaire de Kalabhra","Willkommen im Heiligtum von Kalabhra","Bem-vindo ao Santuário de Kalabhra"
TUTORIAL_MOVEMENT,"Use WASD or arrow keys to move","Usa WASD o las flechas para moverte","Utilisez WASD ou les flèches pour vous déplacer","Verwende WASD oder Pfeiltasten zum Bewegen","Use WASD ou as setas para se mover"
TUTORIAL_CAMERA,"Move the mouse to look around","Mueve el ratón para mirar alrededor","Bougez la souris pour regarder autour","Bewege die Maus zum Umschauen","Mova o mouse para olhar ao redor"
TUTORIAL_INTERACT,"Press E to interact with objects","Presiona E para interactuar con objetos","Appuyez sur E pour interagir avec les objets","Drücke E um mit Objekten zu interagieren","Pressione E para interagir com objetos"
ASSESSMENT_COMPLETE,"Assessment Complete","Evaluación Completa","Évaluation Terminée","Bewertung Abgeschlossen","Avaliação Completa"
SCORE,"Score","Puntuación","Score","Punktzahl","Pontuação"
CORRECT_ANSWERS,"Correct Answers","Respuestas Correctas","Bonnes Réponses","Richtige Antworten","Respostas Corretas"
TOTAL_QUESTIONS,"Total Questions","Total de Preguntas","Total Questions","Gesamtfragen","Total de Perguntas"
PERFORMANCE,"Performance","Rendimiento","Performance","Leistung","Desempenho"
EXCELLENT,"Excellent","Excelente","Excellent","Ausgezeichnet","Excelente"
GOOD,"Good","Bueno","Bien","Gut","Bom"
FAIR,"Fair","Regular","Passable","Befriedigend","Regular"
NEEDS_IMPROVEMENT,"Needs Improvement","Necesita Mejorar","À Améliorer","Verbesserungsbedürftig","Precisa Melhorar"
NEXT_LESSON,"Next Lesson","Siguiente Lección","Leçon Suivante","Nächste Lektion","Próxima Lição"
RETRY_ASSESSMENT,"Retry Assessment","Repetir Evaluación","Refaire l'Évaluation","Bewertung Wiederholen","Repetir Avaliação"
HINT_AVAILABLE,"Hint Available","Pista Disponible","Indice Disponible","Hinweis Verfügbar","Dica Disponível"
SHOW_HINT,"Show Hint","Mostrar Pista","Montrer l'Indice","Hinweis Zeigen","Mostrar Dica"
TIME_REMAINING,"Time Remaining","Tiempo Restante","Temps Restant","Verbleibende Zeit","Tempo Restante"
MINUTES,"minutes","minutos","minutes","Minuten","minutos"
SECONDS,"seconds","segundos","secondes","Sekunden","segundos"
